File Name,Pitch Data,Normalized Pitch Data
11.mid,"62,62,62,69,69,67,67,69,67,69,72,72,71,69,67,69,69,69,67,65,67,69,67,65,64,62,62,62,64,64,60,64,67,67,64,65,64,62,69,72,72,71,67,69,67,64,65,64,60","0.25,0.25,0.25,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.25,0.25,0.32142857142857145,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.17857142857142858"
12.mid,"62,62,62,60,65,67,65,69,69","0.25,0.25,0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.5,0.5"
13.mid,"69,67,65,67,69,65,64,62,64,64,64,65,67,67,65,64,62,62,60,60,62,65,64,62,64,65,62,60,62,62,62,69,69,67,65,67,65,64,62,60,60,62,62,60,65,65,65,64,62,62","0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.25,0.17857142857142858,0.17857142857142858,0.25,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.25,0.17857142857142858,0.25,0.25,0.25,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.17857142857142858,0.25,0.25,0.17857142857142858,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.25"
14.mid,"62,65,62,60,65,65","0.25,0.35714285714285715,0.25,0.17857142857142858,0.35714285714285715,0.35714285714285715"
15.mid,"64,67,69,69,69,72,69","0.32142857142857145,0.42857142857142855,0.5,0.5,0.5,0.6071428571428571,0.5"
16.mid,"67,69,72,69,69,69,67,65,67,69,67,69,69,72,72,74,72,69,72,72,72,72,72,74,72,72,71,72,72,72,71,69,72,69,67,67,67,67,65,67,69,72,72,67,71,72,69,67,65,67,69,69,67,67,72,72,71,72,69,67","0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855"
17.mid,"67,67,71,72,74,72,71,72,74,76,74,74,74,74,74,71,72,74,72,69,67,67,67,69,72,72,72,72,71,69,72,71,72,69,67,69,72,69,72,67,67,74,74,76,74,72,72,71,69","0.42857142857142855,0.42857142857142855,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.6071428571428571,0.42857142857142855,0.42857142857142855,0.6785714285714286,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5"
18.mid,"67,69,72,69,69,72,72,71,72,72,67,69,67,64,65,67,65,64","0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145"
19.mid,"71,72,74,76,74,76,74,72,69,72,71,69,67,67,69,69,67,65,67,69,69,67,67","0.5714285714285714,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.5,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855"
20.mid,"67,69,69,65,69,67,67,69,67,67","0.42857142857142855,0.5,0.5,0.35714285714285715,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855"
21.mid,"62,62,65,64,62,65,65,64,62,62,60,65,67,69,69,67,64,62,65,62,60,64,64,69,67,69,72,69,67,69,67,64,62,65,60,62,65,64,65,64,62,65,62,60,62,62,64,65,67,67,64,65,67,64,62,65,64,62,59,60,62,60,62,64,62,65,64,62,62,65,62,62,62,64,65,69,69,65,69,65,67,67,64,65,69,64,62,62,64,65,65,60,62,65,62,62,64,65,64,65,62,62,62,64,65,69,65,69,65,67,67,64,65,69,64,62,62,64,65,65,65,60,62,65,62,62,65,65,65,64,62,62","0.25,0.25,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.32142857142857145,0.25,0.35714285714285715,0.25,0.17857142857142858,0.32142857142857145,0.32142857142857145,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.25,0.35714285714285715,0.17857142857142858,0.25,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.17857142857142858,0.25,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.32142857142857145,0.25,0.35714285714285715,0.32142857142857145,0.25,0.14285714285714285,0.17857142857142858,0.25,0.17857142857142858,0.25,0.32142857142857145,0.25,0.35714285714285715,0.32142857142857145,0.25,0.25,0.35714285714285715,0.25,0.25,0.25,0.32142857142857145,0.35714285714285715,0.5,0.5,0.35714285714285715,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.5,0.32142857142857145,0.25,0.25,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.17857142857142858,0.25,0.35714285714285715,0.25,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.25,0.25,0.32142857142857145,0.35714285714285715,0.5,0.35714285714285715,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.5,0.32142857142857145,0.25,0.25,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.17857142857142858,0.25,0.35714285714285715,0.25,0.25,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.25"
22.mid,"72,72,74,77,74,72,72,74,72,72,71,69,67,69,67,65,67,67,69,65,65,69,69,67,65,67,69,72,72,74,72,71,69,69,69,67,69,67,65,65,72,72,71,72,69,67","0.6071428571428571,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.35714285714285715,0.35714285714285715,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.5,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855"
23.mid,"64,65,67,67,67,65,65,67,69,69,67,67,72,72,74,72,72,72,71,69,72,69,67,67,69,69,67,65,65,65,67,69,69,67,69,67,65,65,65,69,72,72,71,72,69,67,65,67,69,69,67,67,72,72,71,72,69,67","0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855"
24.mid,"62,65,62,60,65,65,65,64,62,64,65,67,65,67,62,65,65,69,67,67,65,62,62,64,65,67,64,65,65,64,62,64,65,67,64,64,69,67,69,67,64,65,67,65,62,62,67,65,64,65,62,64,65,67,67,65,64,64,69,67,69,67,65,65,67,69,67,64,64","0.25,0.35714285714285715,0.25,0.17857142857142858,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.25,0.35714285714285715,0.35714285714285715,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.25,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.32142857142857145,0.32142857142857145,0.5,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.25,0.25,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.32142857142857145"
25.mid,"67,69,72,72,72,69,72,72,67,71,72,74,76,71,72,74,74,72,76,79,76,74,76,74,72,71,67,69,72,69,72,69,67,65,67,69,69,67,67","0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.75,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.75,0.8571428571428571,0.75,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.6071428571428571,0.5,0.6071428571428571,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855"
